STREET,CITY,ZIP CODE,ZIP+4,ADDRESS,LATS,LONGS,NAME,FILING_REQ_CD,EIN,ASSET_CD,TAX_PERIOD,NTEE_CD,PF_FILING_REQ_CD,REVENUE_AMT,SUBSECTION,ACTIVITY,ORGANIZATION,STATUS,FOUNDATION,ICO,CLASSIFICATION,INCOME_AMT,STATE,ACCT_PD,ASSET_AMT,SORT_NAME,AFFILIATION,DEDUCTIBILITY,RULING_YEAR,RULING_MONTH,INCOME_CD
35000 FORD RD,WESTLAND,48185,3719,"35000 FORD RD, WESTLAND , MI, 48185",42.3251914,-83.3841532,HEALTH CENTER FOR WOMEN,1,383171807,1,201309,P00L,0,22272,3,569000000,1,1,16,,1000,22272,MI,9,998,,3,1,1994,7,2
PO BOX 1115,GRAYLING,49738,5115,"PO BOX 1115, GRAYLING , MI, 49738",44.6614039,-84.7147512,CRAWFORD COUNTY COMMUNITY CHRISTIAN HELP CENTER,1,383059118,4,201312,P00Z,0,119864,3,560000000,1,1,15,% SHIRLEY BENDIG,1000,119864,MI,12,146537,,3,1,1992,5,4
PO BOX 1243,HOLLAND,49422,1243,"PO BOX 1243, HOLLAND , MI, 49422",42.7903086,-86.0987849,A CHILDS VOICE,1,460963211,0,,P01,0,,3,0,1,1,15,,1000,,MI,12,,,3,1,2014,5,0
2515 BIRCH CREEK LN,W BLOOMFIELD,48324,1901,"2515 BIRCH CREEK LN, W BLOOMFIELD , MI, 48324",42.598937,-83.334001,HOPE FOR HIE,0,464038344,0,,P01,1,,3,0,1,1,4,,1200,,MI,12,,,3,1,2014,9,0
215 S WASHINGTON SQ STE 110,LANSING,48933,1877,"215 S WASHINGTON SQ STE 110, LANSING , MI, 48933",42.7319075,-84.5522599,MICHIGANS CHILDREN,1,383078577,4,201312,P010,0,383603,3,559000000,1,1,15,,1000,383603,MI,12,181107,,3,1,1993,1,4
1223 TURNER STREET STE G-1,LANSING,48906,4369,"1223 TURNER STREET STE G-1, LANSING , MI, 48906",42.748447,-84.550001,MICHIGAN LEAGUE FOR PUBLIC POLICY,1,381360557,6,201306,P010,0,3453837,3,402059160,1,1,15,,1200,3453837,MI,6,2645687,,3,1,1956,3,6
19937 KENTUCKY ST,DETROIT,48221,1136,"19937 KENTUCKY ST, DETROIT , MI, 48221",42.4391822,-83.160344,WARRIORS ON WHEELS OF METROPOLITAN DETROIT,2,263144403,0,201312,P018,0,0,3,0,1,1,15,,1000,0,MI,12,0,,3,1,2011,9,0
44283 HIGHLAND CT,NORTHVILLE,48168,8447,"44283 HIGHLAND CT, NORTHVILLE , MI, 48168",42.405892,-83.479677,PROPER POSSIBLE MOVEMENT,2,271582661,0,201312,P019,0,0,3,0,1,1,15,% JUSTIN DAVID BRINK,1200,0,MI,12,0,,3,1,2011,8,0
30 DIVISION AVE N,GRAND RAPIDS,49503,3101,"30 DIVISION AVE N, GRAND RAPIDS , MI, 49503",42.964194,-85.667622,GOOD CONCEPTS,1,452627971,0,,P02,0,,3,0,1,1,16,% APRIL GOFF,1000,,MI,5,,TEDXGRANDRAPIDS,3,1,2014,6,0
6001 N ADAMS RD STE 165,BLOOMFLD HLS,48304,1547,"6001 N ADAMS RD STE 165, BLOOMFLD HLS , MI, 48304",42.605669,-83.209433,D AND M CONSULTANTS INC,1,382678627,5,201209,P020,0,1267625,3,995166000,1,1,15,% EVERETT J DEHUT,1000,1308283,MI,9,846291,,3,1,1995,8,6
1615 PARK DR,TRAVERSE CITY,49686,4701,"1615 PARK DR, TRAVERSE CITY , MI, 49686",44.739834,-85.610745,COMMUNITY SERVICES NETWORK OF MICHIGAN,1,383495285,3,201309,P025,0,144684,3,0,1,1,15,,1000,144684,MI,9,49554,,3,1,2000,3,4
4141 MITCHELL ST,DETROIT,48207,1620,"4141 MITCHELL ST, DETROIT , MI, 48207",42.3609153,-83.0329438,JAMES AND GRACE LEE BOGGS SCHOOL,1,463002637,0,,P03,0,,3,0,1,1,11,% AMANDA ROSMAN,1200,,MI,6,,,3,1,2014,6,0
PO BOX 561,CENTREVILLE,49032,561,"PO BOX 561, CENTREVILLE , MI, 49032",41.9233827,-85.5283225,BUILDING HOPE FREE STORE INC,2,352414668,0,201312,P11,0,0,3,0,1,1,15,% NA,1000,0,MI,12,0,,3,1,2014,4,0
741 BRENTWOOD DR,DEARBORN,48124,1179,"741 BRENTWOOD DR, DEARBORN , MI, 48124",42.317271,-83.2439388,U S FOUNDATION FOR CHARITABLE COOPERATION FOR BINT JBEIL INC,2,421662878,0,201312,P11,0,0,3,0,1,1,15,% YOUSSEF ABDALLAH,1000,0,MI,12,0,,3,1,2005,12,0
PO BOX 204,BIG BAY,49808,204,"PO BOX 204, BIG BAY , MI, 49808",46.845203,-87.9199603,SPRINGS OF HOPE FOUNDATION INC,2,452226779,0,201312,P11,0,0,3,0,1,1,15,% JENNIFER HUGHES,1000,0,MI,12,0,,3,1,2011,8,0
106 ELM ST,FLUSHING,48433,1608,"106 ELM ST, FLUSHING , MI, 48433",43.0642404,-83.8553377,FLUSHING AREA SENIOR FACILITY FOUNDATION,2,454211801,0,201312,P11,0,0,3,0,1,1,15,% RICK BIGELOW,1000,0,MI,12,0,,3,1,2013,7,0
6762 KELLY RD,LYNN,48097,2217,"6762 KELLY RD, LYNN , MI, 48097",43.0937119,-82.879767,REDBIRD MINISTRIES INC,2,462418266,0,201312,P11,0,0,3,0,1,1,15,,1000,0,MI,12,0,,3,1,2014,7,0
38855 HILLS TECH DR STE 200,FARMINGTN HLS,48331,3428,"38855 HILLS TECH DR STE 200, FARMINGTN HLS , MI, 48331",42.489958,-83.4315202,CNS FOUNDATION,2,261209232,1,201209,P11,0,45163,3,0,1,1,17,% JAMES JOHNSON,1000,45163,MI,9,7158,,3,1,2009,2,3
711 S SAGINAW ST,FLINT,48502,1507,"711 S SAGINAW ST, FLINT , MI, 48502",43.0140037,-83.6882052,ROBERT J WHALEY TRUST UW 2-8-15,1,386758742,6,201306,P11,0,88592,3,0,2,1,17,% THE RECTOR ST PAULS EPOSCOPAL CHU,1000,180890,MI,6,1090591,,3,1,2001,5,4
333 W 7TH ST STE 230,ROYAL OAK,48067,2575,"333 W 7TH ST STE 230, ROYAL OAK , MI, 48067",42.4843205,-83.1473159,CAMP CASEY CORPORATION,1,432058251,3,201212,P11,0,155279,3,0,1,1,15,% MOLLY MELAMED,1000,247973,MI,12,88322,,3,1,2005,6,4
4410 W 13 MILE RD,ROYAL OAK,48073,6515,"4410 W 13 MILE RD, ROYAL OAK , MI, 48073",42.518755,-83.202824,JUDSON CENTER FOUNDATION,1,275341027,8,201309,P11,0,761748,3,0,1,1,21,,1000,1772250,MI,9,11295874,,3,1,2011,5,6
4450 CASCADE RD SE STE 200,GRAND RAPIDS,49546,8330,"4450 CASCADE RD SE STE 200, GRAND RAPIDS , MI, 49546",42.945472,-85.560229,PORTER HILLS FOUNDATION,1,383243846,8,201306,P11,0,1238883,3,602000000,1,1,21,,1000,1339286,MI,6,15523911,,3,1,2014,6,6
26645 W 6 MILE RD,REDFORD,48240,2319,"26645 W 6 MILE RD, REDFORD , MI, 48240",42.4131834,-83.3073073,METHODIST CHILDRENS HOME SOCIETY SUPPORTING ORGANIZATION,1,383568007,8,201312,P11,0,2283811,3,0,1,1,17,% JOHN R SCHMIDT,1000,29992577,MI,12,17740203,,3,1,2001,8,8
3921 OAKLAND DRIVE,KALAMAZOO,49008,4819,"3921 OAKLAND DRIVE, KALAMAZOO , MI, 49008",42.2523598,-85.613923,LAKESIDE FOR CHILDREN,1,381360532,7,201306,P11,0,8001346,3,399328000,1,1,16,,1000,8001346,MI,6,8394844,,3,1,1927,1,7
27777 FRANKLIN RD STE 2500,SOUTHFIELD,48034,8222,"27777 FRANKLIN RD STE 2500, SOUTHFIELD , MI, 48034",42.4900187,-83.2988301,AHAVAS AVRAHAM FOUNDATION,0,462028020,0,,P11,1,,3,0,1,1,4,% WILLIAM SIDER,1000,,MI,12,,,3,1,2014,7,0
21860 SUSSEX ST,OAK PARK,48237,2661,"21860 SUSSEX ST, OAK PARK , MI, 48237",42.455252,-83.192311,WOMEN WITH A CARING HEART,2,463659944,0,,P11,0,,3,0,1,1,15,% ELNORA RAMSEY,1000,,MI,12,,,3,1,2014,7,0
333 S PARK ST,KALAMAZOO,49007,5101,"333 S PARK ST, KALAMAZOO , MI, 49007",42.2891317,-85.5870141,LADIES LIBRARY ASSOCIATION OF KALAMAZOO SUPPORTING ORGANIZATION,1,383639242,6,201312,P11,0,248807,3,0,1,1,16,,1200,248807,MI,12,2782506,,3,1,2007,6,4
310 E 3RD ST,FLINT,48502,1711,"310 E 3RD ST, FLINT , MI, 48502",43.015066,-83.6855379,FOUNDATION FOR THE YWCA OF GREATER FLINT,1,382963903,5,201306,P110,0,32495,3,324000000,1,1,17,,1000,189736,MI,6,541675,,3,1,1991,1,4
409 LINDEN AVE,JACKSON,49203,4065,"409 LINDEN AVE, JACKSON , MI, 49203",42.226568,-84.4150839,DISABILITY CONNECTIONS FOUNDATION OF JACKSON COUNTY,1,383131436,6,201309,P110,0,115431,3,922000000,1,1,17,,1000,945423,MI,9,1720788,,3,1,1993,10,5
PO BOX 1134,BIG RAPIDS,49307,834,"PO BOX 1134, BIG RAPIDS , MI, 49307",43.6980782,-85.4836557,MICHIGAN ELKS ASSOCIATION MAJOR PROJECT COMMISSION,1,381561603,6,201303,P110,0,293525,3,160000000,1,1,16,,1000,757316,MI,3,2173001,,1,1,1958,5,5
16099 MICHIGAN AVE,DEARBORN,48126,2937,"16099 MICHIGAN AVE, DEARBORN , MI, 48126",42.31391,-83.2032224,DEARBORN POLICE OFFICERS CHARITIES INC,2,383601372,0,201312,P112,0,0,3,0,1,1,15,% MICHAEL MAURIER,1000,0,MI,12,0,,3,1,2002,7,0
1039 S ROCHESTER RD,ROCHESTER HLS,48307,3115,"1039 S ROCHESTER RD, ROCHESTER HLS , MI, 48307",42.6647446,-83.1315024,LEADER DOGS FOR THE BLIND FOUNDATION,1,454529860,9,201306,P112,0,5907795,3,0,1,1,24,% SUSAN M DANIELS,1000,26741895,MI,6,60322895,,3,1,2012,4,8
PO BOX 2030 6735 TELEGRAPH ROAD,BLOOMFIELD HILLS,48301,3141,"PO BOX 2030 6735 TELEGRAPH ROAD, BLOOMFIELD HILLS , MI, 48301",42.5415784,-83.283947,FEDERATION SUPPORT FOUNDATION 43,2,300482324,1,201305,P112,0,0,3,0,1,1,17,,1200,0,MI,5,1,,3,1,2009,6,0
PO BOX 2030 6735 TELEGRAPH ROAD,BLOOMFIELD HILLS,48301,3141,"PO BOX 2030 6735 TELEGRAPH ROAD, BLOOMFIELD HILLS , MI, 48301",42.5415784,-83.283947,FEDERATION SUPPORT FOUNDATION 42,2,300482325,1,201305,P112,0,0,3,0,1,1,17,,1200,0,MI,5,1,,3,1,2009,6,0
PO BOX 2030 6735 TELEGRAPH ROAD,BLOOMFIELD HILLS,48301,3141,"PO BOX 2030 6735 TELEGRAPH ROAD, BLOOMFIELD HILLS , MI, 48301",42.5415784,-83.283947,FEDERATION SUPPORT FOUNDATION 41,2,611562406,1,201305,P112,0,0,3,0,1,1,17,% LINDA LUTZ,1200,0,MI,5,1,,3,1,2009,6,0
PO BOX 2030 6735 TELEGRAPH ROAD,BLOOMFIELD HILLS,48301,3141,"PO BOX 2030 6735 TELEGRAPH ROAD, BLOOMFIELD HILLS , MI, 48301",42.5415784,-83.283947,FEDERATION SUPPORT FOUNDATION 40,2,611562407,1,201305,P112,0,0,3,0,1,1,17,% LINDA LUTZ,1200,0,MI,5,1,,3,1,2009,6,0
PO BOX 2030,BLOOMFLD HLS,48303,2030,"PO BOX 2030, BLOOMFLD HLS , MI, 48303",42.5841626,-83.243155,GERALD ORAM FAMILY SUPPORT FOUNDATION,1,611562412,5,201305,P112,0,927559,3,0,1,1,17,% LINDA LUTZ,1200,927559,MI,5,935647,,3,1,2009,6,5
13725 STARR COMMONWEALTH ROAD,ALBION,49224,9525,"13725 STARR COMMONWEALTH ROAD, ALBION , MI, 49224",42.2748883,-84.8019725,HANNAH NEIL CENTER FOUNDATION,2,912136084,0,201312,P113,0,0,3,0,1,1,15,% CHRIS SMITH,1000,0,MI,12,0,,3,1,2002,1,0
245 S COCHRAN,CHARLOTTE,48813,1586,"245 S COCHRAN, CHARLOTTE , MI, 48813",42.5616134,-84.835859,CHARLOTTE CRUISERS,2,371562943,0,201312,P114,0,0,3,0,1,1,16,% ROBERT OSENBAUGH,1200,0,MI,12,0,,3,1,2008,8,0
30301 NORTHWESTERN HWY STE 100,FARMINGTN HLS,48334,3277,"30301 NORTHWESTERN HWY STE 100, FARMINGTN HLS , MI, 48334",42.508981,-83.324342,JARC PROPERTIES II,2,200899397,1,201309,P117,0,0,3,0,1,1,17,% JEFFREY COHEN,1000,0,MI,9,1,,3,1,2004,11,0
30301 NORTHWESTERN HWY STE 100,FARMINGTN HLS,48334,3277,"30301 NORTHWESTERN HWY STE 100, FARMINGTN HLS , MI, 48334",42.508981,-83.324342,JARC PROPERTIES IV,2,200899523,1,201309,P117,0,0,3,0,1,1,17,% GUY L BARRON,1000,0,MI,9,1,,3,1,2004,11,0
30301 NORTHWESTERN HWY STE 100,FARMINGTN HLS,48334,3277,"30301 NORTHWESTERN HWY STE 100, FARMINGTN HLS , MI, 48334",42.508981,-83.324342,JARC PROPERTIES V,2,200899564,3,201309,P117,0,9276,3,0,1,1,17,% MATTHEW T ENGELBERT,1000,9276,MI,9,84370,,3,1,2004,11,1
30301 NORTHWESTERN HWY STE 100,FARMINGTN HLS,48334,3277,"30301 NORTHWESTERN HWY STE 100, FARMINGTN HLS , MI, 48334",42.508981,-83.324342,JARC PROPERTIES III,2,200899480,3,201309,P117,0,11415,3,0,1,1,17,% RONALD E HODESS,1000,11415,MI,9,85085,,3,1,2004,11,2
30301 NORTHWESTERN HWY STE 100,FARMINGTN HLS,48334,3277,"30301 NORTHWESTERN HWY STE 100, FARMINGTN HLS , MI, 48334",42.508981,-83.324342,JARC PROPERTIES,2,371475166,3,201309,P117,0,29544,3,0,1,1,17,% DANIEL B GILBERT,1000,29544,MI,9,32420,,3,1,2004,11,3
30301 NORTHWESTERN HWY STE 100,FARMINGTN HLS,48334,3277,"30301 NORTHWESTERN HWY STE 100, FARMINGTN HLS , MI, 48334",42.508981,-83.324342,JARC PROPERTIES VI,1,200899601,6,201309,P117,0,86864,3,0,1,1,17,% RENEE C ERLICH,1000,246700,MI,9,3256301,,3,1,2004,11,4
725 BALDWIN ST,JENISON,49428,7945,"725 BALDWIN ST, JENISON , MI, 49428",42.9078286,-85.7997404,SUNSET LEGACY FOUNDATION,1,453567386,4,201312,P117,0,110796,3,0,1,1,21,% KRIS DOTINGA,1000,110796,MI,12,110783,,3,1,2012,6,4
30301 NORTHWESTERN HWY STE 100,FARMINGTN HLS,48334,3277,"30301 NORTHWESTERN HWY STE 100, FARMINGTN HLS , MI, 48334",42.508981,-83.324342,JARC FOUNDATION,1,383690103,7,201309,P117,0,813936,3,0,1,1,15,% DAIEL B GILBERT,1000,1698351,MI,9,8983037,,3,1,2004,11,6
65 GRAHL DR,COLDWATER,49036,1572,"65 GRAHL DR, COLDWATER , MI, 49036",41.9436134,-84.9776484,H&C BRUNSIDE FOUNDATION,2,300129992,0,201312,P118,0,0,3,0,1,1,15,% JAMES W GORDON,1000,0,MI,12,0,,3,1,2003,11,0
7103 GRATIOT AVE,ST CLAIR,48079,2203,"7103 GRATIOT AVE, ST CLAIR , MI, 48079",42.861507,-82.601996,LIBERTY RIDERS SUPPORTING ORGANIZATION INC,1,421766317,5,201212,P118,0,69282,3,0,1,1,17,% SUZANNE E COOK,1000,2215487,MI,12,636165,SUZANNE E COOK PRES,3,1,2009,3,6
52924 BURGESS DR,CHESTERFIELD,48047,5941,"52924 BURGESS DR, CHESTERFIELD , MI, 48047",42.688903,-82.789228,CHESTERFIELD LIONS CHARITIES INC,0,371443504,1,201206,P12,3,-263,3,0,1,1,4,% JOYCE KRULL,1000,11473,MI,6,1254,,3,1,2003,1,2
7301 CURTIS ST,DETROIT,48221,2632,"7301 CURTIS ST, DETROIT , MI, 48221",42.424102,-83.144212,NEIGHBORHOOD FIRST INC,2,200209229,0,201312,P12,0,0,3,0,1,1,15,% JESSIE YOUNG,1000,0,MI,12,0,,3,1,2005,8,0
PO BOX 325,SCHOOLCRAFT,49087,325,"PO BOX 325, SCHOOLCRAFT , MI, 49087",42.1142107,-85.6377776,KALAMAZOO COUNTY POLICE AND FIREASSISTANCE FUND,2,204133336,0,201312,P12,0,0,3,0,1,1,15,% BECKY ORFIN,1000,0,MI,12,0,,3,1,2007,12,0
PO BOX 1805,ROYAL OAK,48068,1805,"PO BOX 1805, ROYAL OAK , MI, 48068",42.4892706,-83.1459705,GIMME 5 A FUNDRAISER,2,208878633,0,201312,P12,0,0,3,0,1,1,16,% SHIRLEY OWENS,1000,0,MI,12,0,GIMME 5 A FUNDRAISER,3,1,2011,1,0
1034 W ANN ARBOR TRL,PLYMOUTH,48170,1502,"1034 W ANN ARBOR TRL, PLYMOUTH , MI, 48170",42.3705,-83.472179,MAKING SPIRITS BRIGHT,2,263722488,0,201212,P12,0,0,3,0,1,1,15,% JENNIFER GALOFARO,1000,0,MI,12,0,,3,1,2009,7,0
10020 PROFESSIONAL CTR DR STE 100,HAMBURG,48139,0,"10020 PROFESSIONAL CTR DR STE 100, HAMBURG , MI, 48139",42.4569976,-83.8077078,LEAD FOUNDATION INC,2,264307513,0,201312,P12,0,0,3,0,1,1,15,% PATRICIA RICHARDSON,1000,0,MI,12,0,,3,1,2011,2,0
3532 EVAN BROOKE DR SW,GRANDVILLE,49418,9273,"3532 EVAN BROOKE DR SW, GRANDVILLE , MI, 49418",42.86837,-85.750555,GRANDVILLE ROTARY FOUNDATION,2,264790207,0,201406,P12,0,0,3,0,1,1,15,% AMY HENRICKSON,1000,0,MI,6,0,,3,1,2009,9,0
